event_id,production_order_id,batch_id,product_id,line_id,machine_id,event_started_at,event_ended_at,shift,shift_business_date,quantity_produced,quantity_rejected,status
PEV-2025-06-000251,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T06:00:00-03:00,2025-06-01T06:30:00-03:00,SHIFT-A,2025-06-01,75,3,completed
PEV-2025-06-000252,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T06:30:00-03:00,2025-06-01T07:00:00-03:00,SHIFT-A,2025-06-01,134,3,completed
PEV-2025-06-000253,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T07:00:00-03:00,2025-06-01T07:30:00-03:00,SHIFT-A,2025-06-01,118,3,completed
PEV-2025-06-000254,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T07:30:00-03:00,2025-06-01T08:00:00-03:00,SHIFT-A,2025-06-01,126,1,completed
PEV-2025-06-000255,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T08:00:00-03:00,2025-06-01T08:30:00-03:00,SHIFT-A,2025-06-01,79,2,completed
PEV-2025-06-000256,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T08:30:00-03:00,2025-06-01T09:00:00-03:00,SHIFT-A,2025-06-01,78,2,completed
PEV-2025-06-000257,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T09:00:00-03:00,2025-06-01T09:30:00-03:00,SHIFT-A,2025-06-01,72,2,completed
PEV-2025-06-000258,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T09:30:00-03:00,2025-06-01T10:00:00-03:00,SHIFT-A,2025-06-01,72,1,completed
PEV-2025-06-000259,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T10:00:00-03:00,2025-06-01T10:30:00-03:00,SHIFT-A,2025-06-01,65,2,completed
PEV-2025-06-000260,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T10:30:00-03:00,2025-06-01T11:00:00-03:00,SHIFT-A,2025-06-01,98,1,completed
PEV-2025-06-000261,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T11:00:00-03:00,2025-06-01T11:30:00-03:00,SHIFT-A,2025-06-01,104,2,completed
PEV-2025-06-000262,PO-2025-999999,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T11:30:00-03:00,2025-06-01T12:00:00-03:00,SHIFT-A,2025-06-01,135,3,completed
PEV-2025-06-000263,PO-2025-000006,LOT-2025-000006,PRD-006,LINE-01,MCH-002,2025-06-01T12:00:00-03:00,2025-06-01T12:30:00-03:00,SHIFT-A,2025-06-01,69,2,completed
